start,trigger,gap_fill_pct,time_to_engage_ms,engage_rate_pct,overlap_pct,dead_air_pct,moshi_talk_pct,n_moshi_turns,n_turn_ends
11200,baseline,9.205882352941178,160.0,30.88235294117647,3.6,44.55,9.1,10,68
11200,probe,16.77941176470588,0.0,30.88235294117647,3.75,40.0,13.8,17,68
13300,baseline,16.777578300726226,110.0,53.333333333333336,10.95,29.35,20.15,44,75
13300,probe,8.82203589574248,910.0,37.333333333333336,3.05,34.15,7.45,16,75
13350,baseline,11.625,290.0,40.625,9.9,38.35,16.85,30,64
13350,probe,14.3125,500.0,57.8125,5.6,30.35,20.55,42,64
1100,baseline,25.076259972685833,20.0,55.056179775280896,6.8,39.9,26.6,41,89
1100,probe,32.690635757212014,160.0,92.13483146067416,8.05,34.85,32.9,47,89
10800,baseline,13.483744628546463,500.0,48.38709677419355,3.0,35.1,15.45,28,62
10800,probe,8.677419354838712,760.0,38.70967741935484,1.55,43.1,6.0,10,62
8800,baseline,7.583333333333334,210.0,30.0,3.0,40.6,9.75,24,60
8800,probe,19.666666666666668,40.0,35.0,3.65,33.85,17.15,28,60
10850,baseline,15.57627118644068,100.0,55.932203389830505,6.05,34.05,20.95,43,59
10850,probe,16.52542372881356,110.0,61.016949152542374,7.7,37.9,18.75,40,59
4650,baseline,17.57142857142857,240.0,45.714285714285715,4.95,47.45,17.8,33,35
4650,probe,12.97142857142857,220.0,37.142857142857146,3.0,46.2,17.1,28,35
