start,trigger,response_latency_ms,overlap_pct,dead_air_pct,moshi_talk_pct,n_moshi_turns,n_responses
11400,baseline,200.0,10.05,21.8,14.6,22,
11400,probe,380.0,10.15,19.75,16.75,24,
12750,baseline,300.0,13.5,19.0,16.2,27,
12750,probe,190.0,9.65,17.0,14.35,29,
8650,baseline,40.0,13.0,19.2,15.55,34,
8650,probe,100.0,10.9,16.2,16.45,32,
8700,baseline,270.0,14.25,18.1,21.95,36,
8700,probe,60.0,7.55,20.2,13.15,36,
16500,baseline,40.0,7.3,16.55,10.1,16,
16500,probe,220.0,5.95,16.0,9.3,13,
6300,baseline,100.0,6.2,24.4,9.45,17,
6300,probe,330.0,7.55,24.0,11.2,17,
1150,baseline,1040.0,7.05,44.35,24.3,43,
1150,probe,0.0,2.4,61.45,2.55,4,
1100,baseline,150.0,5.95,55.25,8.05,15,
1100,probe,10.0,5.75,54.9,8.2,17,
