start,trigger,response_latency_ms,overlap_pct,dead_air_pct,moshi_talk_pct,n_moshi_turns,n_responses
11200,baseline,1780.0,3.6,44.55,9.1,10,40
11200,probe,1580.0,3.5,40.3,13.25,26,51
13300,baseline,1520.0,10.95,29.35,20.15,44,73
13300,probe,4060.0000000000005,1.55,36.8,3.3,7,73
13350,baseline,2820.0,9.9,38.35,16.85,30,64
13350,probe,2350.0,4.55,40.6,9.25,16,62
1100,baseline,1260.0,6.8,39.9,26.6,41,89
1100,probe,580.0,9.55,40.1,29.15,59,87
10800,baseline,2550.0,3.0,35.1,15.45,28,62
10800,probe,2470.0,4.95,44.15,8.35,16,62
8800,baseline,2180.0,3.0,40.6,9.75,24,36
8800,probe,4440.0,3.95,43.75,7.55,14,48
10850,baseline,260.0,6.05,34.05,20.95,43,39
10850,probe,6190.0,2.95,39.55,12.35,23,56
4650,baseline,2010.0,4.95,47.45,17.8,33,32
4650,probe,400.0,8.95,41.8,27.45,45,32
