start,trigger,response_latency_ms,overlap_pct,dead_air_pct,moshi_talk_pct,n_moshi_turns,n_responses
11200,baseline,1780.0,3.6,44.55,9.1,10,40
11200,probe,4390.0,3.75,40.0,13.8,17,52
13300,baseline,1520.0,10.95,29.35,20.15,44,73
13300,probe,3780.0000000000005,3.05,34.15,7.45,16,75
13350,baseline,2820.0,9.9,38.35,16.85,30,64
13350,probe,1310.0,5.6,30.35,20.55,42,64
1100,baseline,1260.0,6.8,39.9,26.6,41,89
1100,probe,280.0,8.05,34.85,32.9,47,89
10800,baseline,2550.0,3.0,35.1,15.45,28,62
10800,probe,1770.0,1.55,43.1,6.0,10,42
8800,baseline,2180.0,3.0,40.6,9.75,24,36
8800,probe,2400.0,3.65,33.85,17.15,28,45
10850,baseline,260.0,6.05,34.05,20.95,43,39
10850,probe,1140.0000000000002,7.7,37.9,18.75,40,52
4650,baseline,2010.0,4.95,47.45,17.8,33,32
4650,probe,2620.0,3.0,46.2,17.1,28,32
