start,trigger,response_latency_ms,overlap_pct,dead_air_pct,moshi_talk_pct,n_moshi_turns,n_responses
11200,baseline,160.0,3.6,44.55,9.1,10,
11200,probe,0.0,3.75,40.0,13.8,17,
13300,baseline,110.0,10.95,29.35,20.15,44,
13300,probe,910.0,3.05,34.15,7.45,16,
13350,baseline,290.0,9.9,38.35,16.85,30,
13350,probe,500.0,5.6,30.35,20.55,42,
1100,baseline,20.0,6.8,39.9,26.6,41,
1100,probe,160.0,8.05,34.85,32.9,47,
10800,baseline,500.0,3.0,35.1,15.45,28,
10800,probe,760.0,1.55,43.1,6.0,10,
8800,baseline,210.0,3.0,40.6,9.75,24,
8800,probe,40.0,3.65,33.85,17.15,28,
10850,baseline,100.0,6.05,34.05,20.95,43,
10850,probe,110.0,7.7,37.9,18.75,40,
4650,baseline,240.0,4.95,47.45,17.8,33,
4650,probe,220.0,3.0,46.2,17.1,28,
